id,countryid,recorddate,cases,deaths
6531,211,2020-05-29,0,26
6532,211,2020-05-28,0,21
6533,211,2020-05-27,1,25
6534,211,2020-05-26,0,6
6535,211,2020-05-25,1,9
6536,211,2020-05-24,0,8
6537,211,2020-05-23,0,12
6538,211,2020-05-22,0,5
6539,211,2020-05-21,0,15
6540,211,2020-05-20,0,1
6541,211,2020-05-19,0,2
6542,211,2020-05-18,0,13
6543,211,2020-05-17,0,17
6544,211,2020-05-16,0,18
6545,211,2020-05-15,0,18
6546,211,2020-05-14,0,4
6547,211,2020-05-13,0,4
6548,211,2020-05-12,0,4
6549,211,2020-05-11,0,12
6550,211,2020-05-10,0,6
6551,211,2020-05-09,0,8
6552,211,2020-05-08,0,10
6553,211,2020-05-07,0,12
6554,211,2020-05-06,0,17
6555,211,2020-05-05,0,8
6556,211,2020-05-04,0,6
6557,211,2020-05-03,0,7
6558,211,2020-05-02,0,9
6559,211,2020-05-01,0,7
6560,211,2020-04-30,1,16
6561,211,2020-04-29,2,14
6562,211,2020-04-28,0,10
6563,211,2020-04-27,1,14
6564,211,2020-04-26,0,34
6565,211,2020-04-25,0,15
6566,211,2020-04-24,0,29
6567,211,2020-04-23,1,25
6568,211,2020-04-22,0,25
6569,211,2020-04-21,0,22
6570,211,2020-04-20,0,14
6571,211,2020-04-19,0,9
6572,211,2020-04-18,0,21
6573,211,2020-04-17,1,24
6574,211,2020-04-16,1,19
6575,211,2020-04-15,1,8
6576,211,2020-04-14,0,21
6577,211,2020-04-13,0,13
6578,211,2020-04-12,0,17
6579,211,2020-04-11,0,7
6580,211,2020-04-10,1,9
6581,211,2020-04-09,0,17
6582,211,2020-04-08,0,6
6583,211,2020-04-07,1,16
6584,211,2020-04-06,2,28
6585,211,2020-04-05,2,29
6586,211,2020-04-04,1,27
6587,211,2020-04-03,1,18
6588,211,2020-04-02,0,16
6589,211,2020-04-01,3,20
6590,211,2020-03-31,2,11
6591,211,2020-03-30,0,15
6592,211,2020-03-29,1,11
6593,211,2020-03-28,3,12
6594,211,2020-03-27,1,28
6595,211,2020-03-26,0,23
6596,211,2020-03-25,1,23
6597,211,2020-03-24,2,11
6598,211,2020-03-23,0,13
6599,211,2020-03-22,0,6
6600,211,2020-03-21,0,0
6601,211,2020-03-20,0,11
6602,211,2020-03-19,1,4
6603,211,2020-03-18,0,4
6604,211,2020-03-17,0,9
6605,211,2020-03-16,0,4
6606,211,2020-03-15,0,5
6607,211,2020-03-14,0,10
6608,211,2020-03-13,0,12
6609,211,2020-03-12,1,1
6610,211,2020-03-11,0,4
6611,211,2020-03-10,0,4
6612,211,2020-03-09,0,2
6613,212,2020-06-14,9,112
6614,212,2020-06-13,10,109
6615,212,2020-06-12,9,105
6616,212,2020-06-11,8,102
6617,212,2020-06-10,9,117
6618,212,2020-06-09,8,111
6619,212,2020-06-08,9,104
6620,212,2020-06-07,8,115
6621,212,2020-06-06,9,104
6622,212,2020-06-05,14,205
6623,212,2020-06-04,0,0
6624,212,2020-06-03,6,113
6625,212,2020-06-02,8,119
6626,212,2020-06-01,7,127
6627,212,2020-05-31,8,133
6628,212,2020-05-30,8,137
6629,212,2020-05-29,7,140
6630,212,2020-05-28,6,160
6631,212,2020-05-27,8,194
6632,212,2020-05-26,9,197
6633,212,2020-05-25,8,193
6634,212,2020-05-24,10,195
6635,212,2020-05-23,7,190
6636,212,2020-05-22,7,186
6637,212,2020-05-21,7,165
6638,212,2020-05-20,6,176
6639,212,2020-05-19,7,182
6640,212,2020-05-18,6,198
6641,212,2020-05-17,6,192
6642,212,2020-05-16,7,187
6643,212,2020-05-15,7,189
6644,212,2020-05-14,7,186
6645,212,2020-05-13,8,176
6646,212,2020-05-12,5,168
6647,212,2020-05-11,8,165
6648,212,2020-05-10,6,189
6649,212,2020-05-09,5,187
6650,212,2020-05-08,7,185
6651,212,2020-05-07,6,159
6652,212,2020-05-06,5,190
6653,212,2020-05-05,2,174
6654,212,2020-05-04,4,179
6655,212,2020-05-03,6,141
6656,212,2020-05-02,3,148
6657,212,2020-05-01,6,158
6658,212,2020-04-30,7,199
6659,212,2020-04-29,5,132
6660,212,2020-04-28,7,135
6661,212,2020-04-27,6,126
6662,212,2020-04-26,4,129
6663,212,2020-04-25,8,120
6664,212,2020-04-24,5,97
6665,212,2020-04-23,10,99
6666,212,2020-04-22,8,93
6667,212,2020-04-21,9,89
6668,212,2020-04-20,8,94
6669,212,2020-04-19,3,117
6670,212,2020-04-18,16,150
6671,212,2020-04-17,12,108
6672,212,2020-04-16,11,90
6673,212,2020-04-15,12,87
6674,212,2020-04-14,20,69
6675,212,2020-04-13,18,89
6676,212,2020-04-12,19,64
6677,212,2020-04-11,21,95
6678,212,2020-04-10,30,94
6679,212,2020-04-09,12,104
6680,212,2020-04-08,20,45
6681,212,2020-04-07,21,103
6682,212,2020-04-06,22,69
6683,212,2020-04-05,25,80
6684,212,2020-04-04,42,185
6685,212,2020-04-03,5,139
6686,212,2020-04-02,14,131
6687,212,2020-04-01,9,132
6688,212,2020-03-31,4,73
6689,212,2020-03-30,2,57
6690,212,2020-03-29,3,45
6691,212,2020-03-28,1,42
6692,212,2020-03-27,4,65
6693,212,2020-03-26,2,38
6694,212,2020-03-25,2,34
6695,212,2020-03-24,0,29
6696,212,2020-03-23,2,62
6697,212,2020-03-22,5,37
6698,212,2020-03-21,3,12
6699,212,2020-03-20,1,18
6700,212,2020-03-19,1,12
6701,212,2020-03-18,1,2
6702,212,2020-03-17,0,10
6703,212,2020-03-16,2,11
6704,212,2020-03-15,0,11
6705,212,2020-03-14,1,1
6706,212,2020-03-13,1,5
6707,212,2020-03-12,0,0
6708,212,2020-03-09,0,3
6709,212,2020-03-06,0,5
6710,212,2020-03-05,0,7
6711,212,2020-03-04,0,2
6712,212,2020-03-02,0,0
6713,212,2020-03-01,0,2
6714,212,2020-02-29,0,0
6715,212,2020-02-28,0,0
6716,212,2020-02-27,0,0
6717,212,2020-02-26,0,1
6718,212,2020-02-25,0,0
6719,212,2020-02-24,0,0
6720,212,2020-02-23,0,0
6721,212,2020-02-22,0,0
6722,212,2020-02-21,0,0
6723,212,2020-02-20,0,0
6724,212,2020-02-19,0,0
6725,212,2020-02-18,0,0
6726,212,2020-02-17,0,0
6727,212,2020-02-16,0,0
6728,212,2020-02-15,0,0
6729,212,2020-02-14,0,0
6730,212,2020-02-13,0,0
6731,212,2020-02-12,0,0
6732,212,2020-02-11,0,0
6733,212,2020-02-10,0,0
6734,212,2020-02-09,0,0
6735,212,2020-02-08,0,0
6736,212,2020-02-07,0,0
6737,212,2020-02-06,0,0
6738,212,2020-02-05,0,0
6739,212,2020-02-04,0,0
6740,212,2020-02-03,0,0
6741,212,2020-02-02,0,0
6742,212,2020-02-01,0,0
6743,212,2020-01-31,0,0
6744,212,2020-01-30,0,0
6745,212,2020-01-29,0,0
6746,212,2020-01-28,0,0
6747,212,2020-01-27,0,0
6748,212,2020-01-26,0,0
6749,212,2020-01-25,0,0
6750,212,2020-01-24,0,0
6751,212,2020-01-23,0,0
6752,212,2020-01-22,0,0
6753,212,2020-01-21,0,0
6754,212,2020-01-20,0,0
6755,212,2020-01-19,0,0
6756,212,2020-01-18,0,0
6757,212,2020-01-17,0,0
6758,212,2020-01-16,0,0
6759,212,2020-01-15,0,0
6760,212,2020-01-14,0,0
6761,212,2020-01-13,0,0
6762,212,2020-01-12,0,0
6763,212,2020-01-11,0,0
6764,212,2020-01-10,0,0
6765,212,2020-01-09,0,0
6766,212,2020-01-08,0,0
6767,212,2020-01-07,0,0
6768,212,2020-01-06,0,0
6769,212,2020-01-05,0,0
6770,212,2020-01-04,0,0
6771,212,2020-01-03,0,0
6772,212,2020-01-02,0,0
6773,212,2020-01-01,0,0
6774,212,2019-12-31,0,0
6775,213,2020-06-14,0,0
6776,213,2020-06-13,0,1
6777,213,2020-06-12,0,0
6778,213,2020-06-11,0,0
6779,213,2020-06-10,0,0
6780,213,2020-06-09,0,0
6781,213,2020-06-08,0,0
6782,213,2020-06-07,0,0
6783,213,2020-06-06,0,0
6784,213,2020-06-05,0,1
6785,213,2020-06-04,0,7
6786,213,2020-06-03,0,79
6787,213,2020-06-02,0,1
6788,213,2020-06-01,0,0
6789,213,2020-05-31,0,0
6790,213,2020-05-30,0,1
6791,213,2020-05-29,0,0
6792,213,2020-05-28,0,0
6793,213,2020-05-27,0,0
6794,213,2020-05-26,0,0
6795,213,2020-05-25,0,1
6796,213,2020-05-24,0,0
6797,213,2020-05-23,0,0
6798,213,2020-05-22,0,0
6799,213,2020-05-21,0,1
6800,213,2020-05-20,0,0
6801,213,2020-05-19,0,0
6802,213,2020-05-18,0,0
6803,213,2020-05-17,2,0
6804,213,2020-05-16,0,0
6805,213,2020-05-15,0,1
6806,213,2020-05-14,1,2
6807,213,2020-05-13,0,2
6808,213,2020-05-12,0,1
6809,213,2020-05-11,0,1
6810,213,2020-05-10,1,2
6811,213,2020-05-09,0,0
6812,213,2020-05-08,1,1
6813,213,2020-05-07,0,0
6814,213,2020-05-06,1,1
6815,213,2020-05-05,0,2
6816,213,2020-05-04,1,1
6817,213,2020-05-03,1,1
6818,213,2020-05-02,1,1
6819,213,2020-05-01,0,2
6820,213,2020-04-30,1,0
6821,213,2020-04-29,1,0
6822,213,2020-04-28,0,3
6823,213,2020-04-27,0,7
6824,213,2020-04-26,0,2
6825,213,2020-04-25,3,7
6826,213,2020-04-24,0,1
6827,213,2020-04-23,0,6
6828,213,2020-04-22,1,0
6829,213,2020-04-21,0,4
6830,213,2020-04-20,1,9
6831,213,2020-04-19,0,8
6832,213,2020-04-18,2,14
6833,213,2020-04-17,0,9
6834,213,2020-04-16,2,14
6835,213,2020-04-15,2,13
6836,213,2020-04-14,0,8
6837,213,2020-04-13,1,16
6838,213,2020-04-12,2,21
6839,213,2020-04-11,1,18
6840,213,2020-04-10,2,19
6841,213,2020-04-09,1,19
6842,213,2020-04-08,1,19
6843,213,2020-04-07,3,25
6844,213,2020-04-06,1,35
6845,213,2020-04-05,1,27
6846,213,2020-04-04,1,11
6847,213,2020-04-03,1,38
6848,213,2020-04-02,2,14
6849,213,2020-04-01,4,6
6850,213,2020-03-31,2,36
6851,213,2020-03-30,2,26
6852,213,2020-03-29,1,41
6853,213,2020-03-28,0,43
6854,213,2020-03-27,3,36
